PROBLÉM,MOŽNÁ PŘÍČINA,NOVÝ MENTÁLNÍ NÁVYK
ABSCES,"Hlodavé myšlenky
na křivdy, urážky, pomstu.","Dovoluji svým myšlenkám, aby
se osvobodily. Jsem usmířený."
"ADDISONOVA
NEMOC","Citová podvýživa. Vztek
na sebe sama.","S láskou pečuji o své tělo, o svou
mysl a své city."
AFTY,"Nevyřčená jedovatá slova.
Obviňování.","Ve svém láskyplném světě vytvářím
jen a jen radostné prožitky."
AIDS,"Zavržení sebe sama.
Sexuální vina. Zakořeněné
přesvědčení, že za nic
nestojíte.","Jsem od Boha pocházejícím,
dokonalým ztělesněním života.
Raduji se ze své sexuality. Raduji
se ze všeho, čím jsem. Mám se rád."
AKNÉ,"Odmítání sebe sama.
Štítivost vůči sobě.","Jsem od Boha pocházejícím
ztělesněním života. Mám se rád.
Beru se takový, jaký jsem."
ALERGIE,"Na koho jste alergičtí ?
Odmítání vlastní síly.","Svět je bezpečný a přátelský. Jsem
v bezpečí. Jsem usmířený
se životem."
ALKOHOLISMUS,"Pocit marnosti, viny
a neschopnosti. Zavrhování
sebe sama. Házení flinty
do žita.","Žiji v přítomnosti. Každý okamžik
je nový. Vážím si sám sebe. Mám
se rád a jsem se sebou spokojený."
"ALZHEIMEROVA
NEMOC","Touha opustit tuto planetu.
Nezpůsobilost brát život
takový, jaký je.","Všechno probíhá ve správném
okamžiku v čase i prostoru.
Bůh vždy jedná správně."
ANÉMIE,"Nerozhodné, polovičaté
postoje. Málo radosti.
Strach ze života. Pocit,
že za nic nestojím.","Mohu se naplno radovat ze života.
Je to bezpečné. Mám rád život."
"ANÉMIE,
SRPKOVITÁ
(u amerických
černochů)","Veškerou radost ze života
kazí utkvělá představa,
že za nic nestojím.","Toto dítě má nesmírnou radost
ze života. Láska mu dává sílu.
Bůh každý den koná zázraky."
ANGÍNA,"Strach. Potlačované emoce.
Potlačovaná kreativita.","Mé dobro proudí bez překážek. Svým
prostřednictvím vyjadřuji myšlenky
pocházející od Boha. Jsem usmířený."
ANOREXIE,viz NECHUTENSTVÍ,
APATIE,"Vzdorování citům.
Umrtvování sama sebe.
Strach.","City jsou bezpečné. Otevírám
se životu. Raduji se ze života."
"ARTERIO
SKLERÓZA","Vzdor, napětí. Zatvrzelá
úzkoprsost. Odmítání vidět
dobro.","Cele se otevírám životu a radosti.
Na svět se chci dívat s láskou."
ARTRITIDA,viz ZÁNĚT KLOUBŮ,
"ARTRITICKÉ
PRSTY","Touha trestat. Provinilost.
Pocit diskriminace.","Dívám se s láskou a pochopením.
Veškeré prožitky vystavují paprskům
lásky."
ASTIGMATISMUS,viz OČNÍ POTÍŽE,
"ASTMA
BRONCHIALE","Přemáhání vlastních emocí.
„Dusivá láska"". Neschopnost
dýchat sám za sebe.
Potlačovaný pláč. Provinilost
nad tím.co probíhá v mém
blízkém okolí.","Je bezpečné převzít zodpovědnost za
svůj život. Jsem ochoten být
svobodný."
"ASTMA, DĚTSKÉ",Strach ze života.,"Toto dítě je v bezpečí.
Je obklopeno láskou a péčí."
"BOLESTI -
AKUTNÍ",Touha po lásce a bezpečí.,"Mám se rád a jsem se sebou
spokojený. Mám rád lidi a oni mají
rádi mne."
- CHRONICKÉ,"Vina. Vina si vždy hledá
trest.","S láskou se zbavuji minulosti.
Jsem svobodný a „oni"" také.
V mém srdci je teď všechno
v pořádku."
BRADAVICE,"Vyjádření nenávisti.
Přesvědčení, že jsem
ošklivý.",Plně vyjadřuji lásku a krásu života.
"BRADAVICE,
NA CHODIDLE","Zloba jakožto podstata
chápání. Rostoucí frustrace
z budoucnosti.","Přirozeně a sebejistě postupuji
vpřed. Věřím v běh života. Oddávám
se proudu života."
"BRIGHTOVA
NEMOC","Pocit, že jsem malé dítě,
které..nic neumí pořádně""
a ,.za nic nestojí"".
Neúspěch. Ztráta.","Mám se ráda jsem se sebou
spokojený. Záleží mi na sobě.
Dělám vždy všechno správně."
